rarity_tier,n,top1_acc,top5_acc
Zero-shot (novel),28,0.10714285714285714,0.14285714285714285
Ultra-rare (1),44,0.11363636363636363,0.11363636363636363
Very rare (2-5),56,0.375,0.42857142857142855
Rare (6-20),56,0.3392857142857143,0.5
Moderate (21-100),56,0.21428571428571427,0.25
Common (100+),56,0.2857142857142857,0.3392857142857143
